topic_name,topic_description
Pregnanetriol,chemical compound
Expansive,Wikimedia disambiguation page
NAD+ kinase,protein-coding gene in the species Homo sapiens
Diabetic retinopathy,human disease
ROMK,mammalian protein found in Homo sapiens
Combined hyperlipidemia,medical condition
Staphylococcus aureus,species of bacterium
Lipase,class of enzymes
Arabidopsis,genus of plants
Arabidopsis thaliana,species of plant
Saccharomyces cerevisiae,species of fungus
Cytokinin,class of chemical compounds
Nuclear receptor,InterPro Family
Rituximab,pharmaceutical drug
VEGF receptors,protein family
Poaceae,family of plants
Athletes,genus of insects
Seasonality,term
Emperor,species of insect
Influenza A virus,species of virus
University hospital,Wikimedia list article
Noctuidae,family of insects
Schistosoma mansoni,species of worm
Salmo,genus of fishes
Helix (gastropod),genus of molluscs
Bayes' theorem,theorem
Sertoli cell,cell type
Endocrinology,medical specialty
Photodissociation,chemical reaction
Proline,group of stereoisomers
Betacoronavirus,genus of viruses
Baboon,genus of mammals
Retinoic acid,group of chemical compounds
Carp,species of fish
Symporter,class of transport proteins
Icon,programming language
Biliary sludge,disease
Gerbil,species of mammal
Parus,genus of birds
Analytical Chemistry (journal),journal
Callinectes,genus of crustaceans
Cephalosporin,class of pharmaceutical drugs
Polystyrene,polymer
International economics,academic discipline
Kalman filter,algorithm
Herpesviridae,family of viruses
HeLa,cell line
Normal distribution,probability distribution
Salmonidae,family of fishes
SH2 domain,InterPro Domain
Resting state fMRI,medical procedure
EMI,computer network protocol
Weakness,symptom
Chlorella,genus of algae
SUMO protein,class of proteins
Amphetamine,pair of enantiomers
Angiography,medical imaging technique
Rhizobiaceae,family of bacteria
Tanzania,genus of arachnids
Radiofrequency ablation,surgical procedure
Infinity,mathematical concept
Rational expectations,economics concept
Xylose,group of isomers
White matter,part of the brain
Spinel,oxide mineral
Resource-based view,theory
Combination chemotherapy,aspect of history
Sulfate,anion
Psoriasis,skin disease
Alagille syndrome,congenital disorder of digestive system
Condensed matter physics,branch of physics
Programmed cell death,biological process
Hymenoptera,order of insects
Cuckoo,family of birds
Ordination,statistical method
Paleosol,soil type
Nitrogen mustard,family of chemical compounds
Mathematical analysis,branch of mathematics
Visual cortex,region of the brain
Anthozoa,class of cnidarians
Ferromagnetism,physical phenomenon
Opossum,family of mammals
Theileria,genus of protists
Sociology of Education,branch of sociology
Ultraviolet,"electromagnetic radiation with a wavelength shorter than that of visible light, but longer than X-rays"
Alanine scanning,molecular biology technique
Social capital,concept
Tetranychus urticae,species of arthropods
Rotational speed,physical quantity
Xenopus,genus of amphibians
Interdependence,interdisciplinary field of study
Hsp70,protein
Proteobacteria,phylum of Gram-negative bacteria
Trypanosoma cruzi,species of Kinetoplastea
Chlorella vulgaris,species of alga
Synechococcus,genus of Cyanobacteria
Constructive,legal concept
Pneumococcal disease,index page of a website's root directory
Aequorin,enzyme
Europium,chemical element with atomic number of 63
Strongylocentrotus purpuratus,species of echinoderm
Thyroiditis,endocrine disease
Pituitary stalk,Anatomical structure
Sport psychology,branch of psychology
Binary logarithm,mathematical function
Fragile X syndrome,congenital disorder of nervous system
Wiskott–Aldrich syndrome,rare disease
Calcitonin gene-related peptide,peptide hormone in Homo sapiens
Zooarchaeology,archaeological sub-discipline
Human services,field of study
Attention deficit disorder,neurodevelopmental disorder
Latent class model,concept in statistics
Ixodidae,family of arachnids
Chalcopyrite,sulfide mineral
Electrochemistry,branch of chemistry
Polycystic kidney disease,congenital disorder of urinary system
Prostate biopsy,medical test
Chromosome 22,human chromosome
Externalization,concept in psychology
Very high frequency,the 30-300 MHz range of the electromagnetic spectrum
Health spending,prevention of disease and promotion of wellbeing
Autism spectrum disorder,range of neurodevelopmental conditions
Catheter,medical device
Educational technology,use of technology in education to improve learning and teaching; not restricted to high technology
Nanometre,unit of length
Deltoid muscle,muscle of the upper limb
Alkoxy group,functional group
EcoRI,restriction enzyme
Passions,philosophical concept
Eisenia fetida,species of annelid
Gradient descent,optimization algorithm
Cross listing,legal term
Transaldolase,enzyme family
Phosphocholine,cation
Syphilis Serodiagnosis,sexually transmitted infection
Right atrium,chamber of the heart
Dystrophy,medical term
Radiosonde,meteorological instrumentation
Laser beams,device which emits light via optical amplification
Goniometer,measuring instrument
Sphincter,muscle
Induction therapy,"attempted medical remediation of a health problem, usually following a diagnosis"
Deep belief network,type of artificial neural network
Lassa fever,viral disease
Thorium,chemical element with the atomic number of 90
PCA3,non-coding RNA in the species Homo sapiens
Lingual gyrus,brain structure
