topic_name,topic_description
Clausius–Clapeyron relation,relation between vapour pressure and temperature
Grebe,family of birds
Subdural hygroma,"collection of cerebrospinal fluid (CSF), without blood, located under the dural membrane"
Nursing unit,"system of units, based on the International System of Quantities, their names and symbols, including a series of prefixes and their names and symbols, together with rules for their use (International Vocabulary of Metrology)"
Clinical vignette,"detailed medical report on the symptoms, signs, diagnosis, treatment, and follow-up of an individual patient"
Automatic Data Processing,American human resources management software company
Project engineering,The field of study related to Project engineering.
Operations support system,"computer system used by telecommunications service providers to manage their networks (e.g., telephone networks); supports management functions such as network inventory, service provisioning, network configuration and fault management"
Canadian studies,"academic field studying Canadian culture and society, history, government, literature, etc."
Of the form,mathematical phrase
S function,Wikimedia disambiguation page
Operation,mathematical procedure which produces a result from one or more input values
Plastic repair,medical specialty concerned with the altering or restoration of form and function
Diagnostic equipment,any device intended to be used for medical purposes
Tranquilizing Agents,drug that induces tranquility in an individual
Neuroleptanalgesia,The field of study related to Neuroleptanalgesia.
Two-dimensional space,geometric model of the planar projection of the physical universe
Technical report,"document that describes the process, progress, or results of technical or scientific research or the state of a technical or scientific research problem"
Computer education,skill in using computers and digital technology
Spanish literature,literature written in the Spanish language from Spain
Oriental studies,"study of Asia and Asian history, cultures, languages, peoples, etc."
National Electrical Code,The field of study related to National Electrical Code.
Modern literature,Wikimedia disambiguation page
Embedded controller,A microcontroller that manages a computer's system-related tasks not handled by the operating system.
Soil treatment,Pesticides are artificial chemicals used in germination of plants from harmful bugs and viruses.
Television station,organization that transmits content on television
Market driven,capitalist economy
Equal time,U.S. radio and television law
Health clinic,"health care facility, primarily focused on the care of outpatients"
Brazilian literature,The field of study related to Brazilian literature.
Italian literature,Italian regional literature
Electronic performance support systems,any computer software program or component that improves user performance
Sheet music,full musical score showing each part on a separate line or staff
Local system,locally constant sheaf of abelian groups on  topological space
Gallamine triethiodide,concept amalgam in chemistry
Experimental physics,category of disciplines and sub-disciplines concerned with the observation of physical phenomena
Biology,"scientific study of living things, especially their structure, function, growth, evolution, and distribution"
Medicine,"field of study for diagnosing, treating and preventing disease"
Computer science,study of computation
Chemistry,"branch of physical science concerned with the composition, structure and properties of matter"
Physics,"study of matter and its motion, along with related concepts such as energy and force"
Internal medicine,"medical specialty dealing with the prevention, diagnosis, and treatment of adult diseases"
Mathematics,field of study
Biochemistry,study of chemical processes in living organisms
Engineering,applied science
Materials science,interdisciplinary field which deals with the discovery and design of new materials; primarily concerned with the physical and chemical properties of solids
Psychology,"scientific study of the way the human mind works and how it influences behaviour, or the influence of a particular person's character on their behaviour"
Organic chemistry,"subdiscipline within chemistry involving the scientific study of carbon-based compounds, hydrocarbons, and their derivatives"
Genetics,"study of genes, heredity, and variation in living organisms"
Gene,basic physical and functional unit of heredity
Quantum mechanics,fundamental theory in physics describing the properties of nature on an atomic scale
Political science,social science concerned with the study of politics and political systems
Philosophy,"study of the truths and principles of being, schools of thought, knowledge, or conduct"
Economics,"social science that analyzes the production, distribution, and consumption of goods and services"
