skill_name,cluster_id,cluster_size
lisp,4805,1
work with supporting team in community arts programme,3421,2
identify plants characteristics,6099,1
design an electric heating system,2156,2
prepare mould for vacuum forming,8897,1
manage cargo handling,779,3
implement cloud security and compliance,5062,1
maintain camping facilities,4852,2
assess performance in sport events,1478,2
beverage products,8527,1
conduct post tanning operations,1291,7
prepare site for construction,147,2
follow water supply schedule,9237,1
prepare animals for anaesthesia,3238,4
escapee contingency plans,8240,1
operate oxy-fuel cutting torch,7850,2
work with an artistic team,219,5
create digital content,8927,1
maintain lighting equipment,1558,2
set up media integration systems,1051,3
immunohaematology,432,3
repair vehicle electrical systems,1948,2
respiratory medicine,8242,1
perform clinical coding procedures,4750,1
draw stage layouts,9162,1
design microclimates in buildings,9163,1
market entry strategies,386,2
assemble microelectromechanical systems,2526,2
person centred care,5801,1
supervise dental staff,708,3
project management,4196,3
anchors used in inland water transport,8235,1
memorise lines,8420,1
use cae software,7957,1
apply freinet teaching strategies,5163,1
parasitology,457,3
psychological counselling methods,8650,1
manage digital identity,802,2
manage rainwater,4952,1
carry out equine dental procedures,1956,3
manage ground maintenance,5256,2
execute marketing plan,449,6
interpret findings from medical examinations,7941,1
provide customised products,7418,1
research welding techniques,1514,3
footwear and leather goods marketing planning,4298,3
product usage risks analysis,5816,1
create puppets,1384,2
set up aquaculture cage mooring system,5767,1
hot vulcanisation,7875,1
design materials for multimedia campaigns,7219,1
set up pricing strategies,1310,2
manage sumps,5503,1
design miniature sets,4256,2
repair electric bicycles,255,2
inspect electrical supplies,6978,1
conduct mobile marketing,7495,1
create 3d characters,1023,2
mathematical economics,7523,1
provide health psychological treatment advice,740,2
perform paediatric surgery,7739,1
maintain personal hygiene standards,3159,3
apply colour grading,7576,1
design a solar absorption cooling system,8041,1
create production schedules,152,7
monitor larval development,8206,1
use dialect,6201,1
follow safety procedures when working at heights,8878,1
advise on chemical use reduction,5974,1
analyse types of footwear,7689,1
stem cells,8413,1
measure sugar refinement,2630,2
assemble video tape footage,8607,1
adjust the varnish mixture,101,2
e-procurement,9296,1
landscape architecture,416,5
operate distilling equipment,3650,2
maintain desalination control system,5268,1
execute integration testing,6509,1
apply sport games rules,459,4
lawn care,363,2
draw sketches to develop textile articles using softwares,651,2
manual draughting techniques,5737,1
implement customer follow-up,4884,3
liaise with educational support staff,8211,1
counsel on end-of-life care,9298,1
collect damages,4901,1
provide palliative care,2079,2
operate forestry equipment,131,3
provide health education,8086,1
conflict management,6341,2
develop microelectromechanical system test procedures,1662,3
operate stage movement control system,5253,1
analyse internal factors of companies,7530,1
social innovation,769,2
prevent undesired changes to sound design,5461,1
manage recirculation systems,1863,3
initiate contact with sellers,6603,1
perform fish grading operations,1425,2
interview animal owners on animals' conditions,853,2
make abstracts,5768,1
international regulations for cargo handling,1607,3
operate rotary press,8030,1
promote agricultural policies,4140,2
preserve airport maintenance equipment,3192,2
integrate ict data,2388,2
conduct performance measurement,503,2
develop organisational policies,5208,2
ict recovery techniques,1591,2
instruct library users in digital literacy,4104,2
leather goods manufacturing processes,898,8
ict project management,2289,2
urolithiasis in the urinary tract,5153,1
supervise script preparation,6310,1
operate private branch exchange,5695,1
thanatology,6467,1
ensure maintenance of the advertising furniture,888,2
blockchain history,9285,1
protective safety equipment,7910,2
envelope systems for buildings,7617,1
drive ambulance under non-emergency conditions,1131,2
drip candles,8603,1
demonstrate functionality of video games,1017,3
coordinate shipments of waste materials,2310,2
prepare timelines for pipeline development projects,6899,1
conduct foster care visits,8594,1
perform water analysis,4440,2
maintain vehicle records,7820,1
supervise accounting operations,7088,1
engage with stakeholders,1287,3
apply soldering techniques,1218,2
cut vacuum formed workpiece,6245,1
teach windsurfing,6437,1
calculate oil deliveries,7250,1
promote recreation activities,1610,4
manage waste rock,8469,1
manage changes in ict system,2743,2
operate corrugator,8423,1
management consulting,7408,1
design training programmes for animals,9256,1
synthesise information,7483,1
schedule recreation facilities,8982,1
apply radiation protection procedures,1657,4
weigh shipments,7665,1
tend hot rolling mill,8697,1
apply airport lighting maintenance procedures,98,5
create plant displays,5434,1
create brand guidelines,7789,1
administer radiation treatment,3608,4
trade future commodities,7861,1
environmental legislation,1422,3
provide fitness customer care,4326,2
organise rehearsals,3662,3
design dams,7209,1
simplify communication in maritime management,1502,2
maintain extrusion machines,7477,1
adjust feeder tubes,7675,1
advise on medical products,1242,2
explain interview purposes,7503,1
fit low vision aids,8339,1
polish stone by hand,3172,2
prepare ready-made dishes,8409,1
draw blueprints,610,3
quantum mechanics,654,2
monitor the discharge of cargo,6250,1
advertise auction sales,8506,1
standards for web-based e-learning,8567,1
adjust scraper bars,6574,1
adapt developed game to the market,6387,1
hazards associated with loading dangerous goods,8649,1
manage import export licenses,8698,1
software anomalies,8775,1
develop standard operating procedures in the food chain,8811,1
asbestos removal regulations,8845,1
metal bending techniques,8078,1
test fragrances against customer satisfaction,8899,1
contextualise artistic work,8936,1
monitor chemical process condition,8963,1
monitor bond market,9027,1
investigate contamination,8909,1
